total,l1,l2,l3,l1r
1292,4,10,6,0
1293,4,10,6,0
1294,4,10,6,0
1295,4,10,6,0
1296,4,10,6,0
1297,4,10,6,0
1298,4,10,6,0
1299,4,10,6,0
1300,4,10,6,0
1301,4,10,6,0
1302,4,10,6,0
1303,4,10,6,0
1304,4,10,6,0
1305,4,10,6,0
1306,4,10,6,0
1307,4,10,6,0
1308,4,10,6,0
1309,4,10,6,0
1310,4,10,6,0
1311,4,10,6,0
1312,4,10,6,0
1313,4,10,6,0
1314,4,10,6,0
1315,4,10,6,0
1316,4,10,6,0
1317,4,10,6,0
1318,4,10,6,0
1319,4,10,6,0
1320,4,10,6,0
1321,4,10,6,0
1322,4,10,6,0
1323,4,10,6,0
1324,4,10,6,0
1325,4,10,6,0
1326,4,10,6,0
1327,4,10,6,0
1328,4,10,6,0
1329,4,10,6,0
1330,4,10,6,0
1331,4,10,6,0
1332,4,10,6,0
1333,4,10,6,0
1334,4,10,6,0
1335,4,10,6,0
1336,4,10,6,0
1337,4,10,6,0
1338,4,10,6,0
1339,4,10,6,0
1340,4,10,6,0
1341,4,10,6,0
1342,4,10,6,0
1343,4,10,6,0
1344,4,10,6,0
1345,4,10,6,0
1346,4,10,6,0
1347,4,10,6,0
1348,4,10,6,0
1349,4,10,6,0
1350,4,10,6,0
1351,4,10,6,0
1352,4,10,6,0
1353,4,10,6,0
1354,4,10,6,0
1355,4,10,6,0
